Profile,Carbon.Kg.m2,Nitrogen.g.m2,Latitude,Longitude,Code
0002025 58 CO  8  4,13.7,1412,38.9,-106,A
0002026 63 CO 18  9,7.6,437,39.1,-104.8,A
0002027 63 CO 58  7,11.3,1104,40.8,-102.3,A
0002028 58 CO  8  9,18.1,993,38.9,-106,A
0002029 61 CO  3  1,7.2,769,39.6,-103.7,A
0002030 61 CO  3  2,7.6,699,39.6,-103.8,A
0002031 57 CO  7  1,26.9,1894,40.1,-105.5,A
0002032 57 CO  7  2,26.1,1939,40.1,-105.5,A
0002033 63 CO 18  5,8.4,606,39.2,-104.8,A
0002034 63 CO 18  6,9.4,784,39.1,-104.7,A
0002035 59 CO 44  9,7.2,626,40.5,-103.9,A
0002036 57 CO  8  4,2.4,131,39.9,-106,A
0002037 57 CO  8  5,3,174,39.9,-106,A
0002038 57 CO  8  6,2.9,139,39.9,-106,A
0002039 58 CO  8 11,11.6,871,38.9,-106,A
0002040 61 CO 20  1,5.8,517,39.6,-104.5,A
0002041 59 CO 44  7,5.5,500,40,-104,A
0002042 55 CO 10  2,15.9,1100,39.8,-105.9,A
0002043    CO  2 29,22.1,1624,39.9,-105.9,A
0002044 61 CO  6  1,4.3,550,38.3,-103.1,A
0002045 61 CO 44  1,4.7,619,40.4,-104,A
0002046 61 CO  3  3,10.2,951,39.6,-103.9,A
0002047 61 CO  3  7,9.6,885,39.7,-104,A
0003001 55 CO 10  1,92.3,4632,39.8,-105.9,A
0003002 57 CO  7  3,8.5,678,40.1,-105.5,A
0003003 57 CO  7  4,15.3,1017,40.1,-105.5,A
0003004 57 CO  7  5,18.2,1258,40.1,-105.5,A
0003005 57 CO  7  6,27.9,1849,40.1,-105.5,A
0003006    CO  1 79,27.2,2027,39.9,-105.9,A
0003007 55 CO 25  1,22.9,1747,39.8,-106,A
0004001 55 MT  5  1,4.7,339,45.2,-109.2,A
0005001 61 MT 19  1,9.6,775,46.7,-109.3,A
0005002 61 MT 19  2,8.7,703,46.7,-109.3,A
0006002 48 MN 56  4,2.9,<0.1,46.6,-96.1,A
0006003 48 MN  4  1,3.8,<0.1,47.5,-96.5,A
0006004 48 MN  4  2,3.3,<0.1,47.5,-96.5,A
0006005 48 MN  4  3,3.1,<0.1,47.5,-96.5,A
0006006 48 MN 31  1,3.8,<0.1,47.7,-94.5,A
0006007 49 WA 31  1,12.7,<0.1,48.2,-122.1,A
0006008 49 WA 31  2,9.4,<0.1,47.9,-122,A
0006009 49 WA 17  1,16.8,<0.1,47.5,-121.8,A
0006010 49 WA 17  2,86.4,<0.1,47.5,-121.8,A
0006011 49 WA 17  3,12.7,<0.1,47.7,-122,A
0006012 49 WA 17  4,11.8,<0.1,47.3,-122.2,A
0006013 49 MT 24  1,6.5,<0.1,47.3,-114.2,A
0006014 49 MT 24  2,8.6,<0.1,47.5,-114.1,A
0006015 49 MT 18  1,5.7,<0.1,48.6,-113,A
0006016 49 MT 18  2,7.5,<0.1,48.6,-113,A
0006017 49 MT 18  3,12.2,<0.1,48.6,-113,A
0006018 49 MT 15  1,5.1,<0.1,48.6,-114.6,A
0006019 49 MT 15  2,4.3,<0.1,48.6,-114.6,A
0006020 49 MT 15  3,9.3,<0.1,48.4,-114.4,A
0006021 49 MT 15  4,6.3,<0.1,48.4,-114.4,A
0006022 49 ID  9  1,5.7,<0.1,48.2,-116.8,A
0006023 49 ID  9  2,4.8,<0.1,48.4,-116.5,A
0006024 49 AL  1  1,5.6,<0.1,51.3,-116,A
0006025 49 AT  2  1,5.5,<0.1,53,-114.5,A
0006026 49 AT  3  1,4.9,<0.1,53.2,-113.9,A
0006027 49 MN 38  1,20.3,<0.1,47.4,-91.2,A
0006029 49 WI 16  1,4.4,<0.1,46.4,-91.8,A
0006030 49 WI 26  1,14,<0.1,46.4,-90.4,A
0006031 49 WI  4  1,4.5,<0.1,46.8,-91.4,A
0006032 49 WI  4  2,4.3,<0.1,46.8,-91.4,A
0006033 49 WI  4  3,6.7,<0.1,46.6,-91.4,A
0006034 49 MI 27  1,10.5,<0.1,46.6,-89.9,A
0006035 48 MN 60  1,8,<0.1,47.7,-96,A
0006036 48 MN 56  2,12.5,<0.1,46.2,-95.9,A
0006037 48 MI 66  4,5.5,<0.1,46.7,-89.2,A
0006038 48 ME  9  4,14.3,<0.1,44.9,-71,A
0006039 48 NH  4  4,10.2,<0.1,45.1,-71.4,A
0006040 40 MD,4.7,<0.1,39.6,-79,A
0006041 41 MD,22.9,<0.1,39,-79.4,A
0006042 42 NH,10.2,<0.1,42.9,-71.7,A
0006043 48 CT  7  3,9.4,<0.1,41.9,-72.3,A
0006044 48 CT  7  4,17.9,<0.1,41.9,-72.3,A
0006045 50 WA 20  1,5.7,<0.1,45.8,-120.8,A
0006046 50 WA 20  2,5.3,<0.1,45.8,-120.9,A
0006047 50 WA 19  1,11.4,<0.1,47.2,-120.9,A
0006048 50 WA 19  2,6.2,<0.1,47.2,-120.9,A
0006049 50 WA 21  1,16,<0.1,46.5,-122.9,A
0006050 50 WA 21  2,8,<0.1,46.4,-122.9,A
0006051 50 WA 21  3,16.4,<0.1,46.5,-122.9,A
0006052 50 WA 21  4,21.9,<0.1,46.4,-122.9,A
0006053 50 WA 21  5,7.5,<0.1,46.5,-122.9,A
0006054 50 WA 21  6,16.3,<0.1,46.7,-123,A
0006055 50 WA 23  1,10.1,<0.1,47.2,-123.1,A
0006056 50 WA 23  2,10.9,<0.1,47.4,-122.8,A
0006057 50 WA 23  3,13.9,<0.1,47.2,-123.1,A
0006058 50 WA 23  4,26.9,<0.1,47.2,-123.1,A
0006059 50 WA  5  1,4.5,<0.1,48.1,-123.1,A
0006060 50 WA  5  2,5,<0.1,48.1,-123.1,A
0006061 50 WA 15  1,4.2,<0.1,48,-122.4,A
0006062 50 WA 15  2,4,<0.1,48,-122.4,A
0006063 50 NV  3  1,7.4,<0.1,38.9,-119.7,A
0006064 50 NV  3  2,5.1,<0.1,38.9,-119.7,A
0006065 50 CT  2 10,14.8,<0.1,44.9,-72.8,A
0006066 50 CT  2 11,6.7,<0.1,44.9,-72.8,A
0006067 50 MA  7  1,9.7,<0.1,42.2,-72.6,A
0006068 50 NJ  7  1,5,<0.1,40.9,-74.2,A
0007001   70ID,11.8,<0.1,43.8,-115.8,A
0007002   71ID,6.5,<0.1,43.8,-115.8,A
0007003   88ID,7.3,<0.1,44.5,-116,A
0007004   77ID,12.4,<0.1,44.5,-116,A
0007005   90ID,21.1,<0.1,44.9,-116.1,A
0007006   91ID,18,<0.1,44.9,-116.1,A
0007007    1UT,30.4,<0.1,41,-111.9,A
0007008    2UT,17.2,<0.1,41,-111.9,A
0007009    3UT,33.1,<0.1,41,-111.9,A
0007010   95UT,35.5,<0.1,41,-111.9,A
0007011   45ID,10.2,<0.1,43.2,-112.4,A
0007012   46ID,8.2,<0.1,43.2,-112.4,A
0007013   44ID,5.7,<0.1,43.2,-112.4,A
0007014   67ID,8.9,<0.1,43.1,-115.7,A
0007015   75ID,8.6,<0.1,43.6,-116.2,A
0007016   26ID,16.4,<0.1,42.7,-111.5,A
0007017   25ID,25.7,<0.1,42.7,-111.5,A
0007018   37ID,7.5,<0.1,43,-112.8,A
0007019   76ID,11.5,<0.1,43.6,-116.2,A
0007020   41ID,5.6,<0.1,43.1,-112.7,A
0007021   43ID,5.4,<0.1,43.2,-112.4,A
0007022   61ID,11.6,<0.1,42.9,-114.7,A
0007023   62ID,3.5,<0.1,42.9,-114.7,A
0007024   86ID,15.4,<0.1,42.5,-113.8,A
0007025   65ID,7.6,<0.1,42.9,-115,A
0007026   32ID,8.7,<0.1,42.9,-112.5,A
0007027   35ID,7.5,<0.1,42.9,-112.5,A
0007028   50ID,6.4,<0.1,43.5,-112,A
0007029   52ID,10.2,<0.1,43.4,-112.8,A
0007030   53ID,8.1,<0.1,43.4,-112.8,A
0007031   64ID,6.3,<0.1,42.9,-115,A
0007032   66ID,5.6,<0.1,42.8,-115,A
0007033   82ID,14.3,<0.1,42.6,-114.1,A
0007034   29ID,7.4,<0.1,42.7,-111.9,A
0007035   72ID,16.7,<0.1,43.6,-115.9,A
0007036   27ID,17.8,<0.1,42.7,-111.5,A
0007037   54ID,10.7,<0.1,43.6,-113.3,A
0007038   57ID,5.4,<0.1,43.6,-113.3,A
0007039   69ID,9.8,<0.1,43.1,-115.7,A
0007040   74ID,16.3,<0.1,43.6,-116.2,A
0007041   92ID,17.9,<0.1,42.1,-113.3,A
0007042   93ID,20.1,<0.1,42.1,-113.3,A
0007043   59ID,10.9,<0.1,43.5,-114.3,A
0007044  132NV,7.9,<0.1,39.2,-114.9,A
0007045  133NV,31.8,<0.1,39.2,-114.9,A
0007046  134NV,7.4,<0.1,39.2,-114.9,A
0007047  135NV,4.5,<0.1,41.1,-115,A
0007048  136NV,7.5,<0.1,41.1,-115,A
0007049  137NV,12.5,<0.1,41.1,-115,A
0007050  138NV,5.6,<0.1,41.2,-114.6,A
0007051  139NV,31.7,<0.1,41.2,-114.6,A
0007052  140NV,10.5,<0.1,41.2,-114.6,A
0007053  121UT,8.6,<0.1,37.7,-113.1,A
0007054  125UT,4.3,<0.1,38.4,-113,A
0007055  115UT,7.3,<0.1,37.6,-113.7,A
0007056  102UT,8.1,<0.1,38.8,-112.1,A
0007057  141UT,10.3,<0.1,40.7,-114,A
0007058  142UT,9.3,<0.1,40.7,-114,A
0007059  144UT,9,<0.1,40.7,-113.3,A
0007060  117UT,8.9,<0.1,37.6,-113.7,A
0007061  114UT,1.8,<0.1,37.1,-113.6,A
0007062   97UT,18.1,<0.1,39.4,-111.6,A
0007063  118UT,13.5,<0.1,37.9,-113.7,A
0007064  119UT,10.5,<0.1,37.9,-113.7,A
0007065  120UT,16.1,<0.1,37.7,-113.1,A
0007066  129UT,7.6,<0.1,38.9,-114,A
0007067  131UT,6.6,<0.1,38.9,-114,A
0007068  128UT,10.3,<0.1,38.9,-114,A
0007069  127UT,3,<0.1,38.9,-114,A
0007070  124UT,22,<0.1,38.4,-113,A
0007071    4UT,19,<0.1,41,-111.9,A
0007072   94UT,22.5,<0.1,39.4,-111.6,A
0007073   96UT,21.2,<0.1,39.4,-111.6,A
0008001 60 NV  3   1,1.7,88,39,-119.8,A
0008002 59 NV  3   3,2.6,282,39,-119.8,A
0008003 59 NV  3   4,3.2,334,39,-119.8,A
0008004 59 NV  3  9,3.2,247,39,-119.8,A
0008005 59 NV  3   1,5,261,39,-119.8,A
0008006 59 NV  2   9,0.6,25,36,-115,A
0008007 59 NV  2  10,1.5,30,36,-115,A
0008008 66 NV  4   5,3.8,45,41,-116.5,A
0008009 66 NV  7   1,2.9,159,40.8,-118,A
0008010 66 NV  7   2,2.4,114,40.8,-118,A
0008011 66 NV  9  21,3.5,55,40.8,-118,A
0008012 66 NV 14   3,3.3,173,40.8,-118,A
0008013 66 NV 14   4,3.2,180,40.8,-118,A
0008014 66 NV 14   2,2.9,198,40.7,-118,A
0008015 66 NV  9  24,3.4,104,37.5,-115.3,A
0008016 66 NV  9  20,4.5,200,37.5,-115.3,A
0008017 56 NV  2   8,4.5,89,36,-115,A
0008018 59 NV  2  14,1.1,37,36,-115,A
0008019 66 NV  7   3,2.2,49,41,-116.5,A
0008020 66 NV  4   3,6.8,298,41,-116.5,A
0008021 66 NV  4   1,5.1,239,41,-116.5,A
0008022 66 NV  9  22,4.7,144,38,-114.2,A
0008023 66 NV  9  25,4.4,294,38,-114.2,A
0008024 66 NV  4   4,6,171,41,-116.5,A
0009001 61 WY 15  1,11.4,885,44.9,-109.6,A
0009002 61 WY 15  2,9.9,762,44.9,-109.6,A
0010001 341 CA,0.4,46,41.3,-122.1,A
0010002 342 CA,4.8,302,41.3,-122.1,A
0010003 343 CA,7.1,416,41.3,-122.1,A
0010004 344 CA,8.9,490,41.3,-122.1,A
0010005 345 CA,8.7,490,41.3,-122.1,A
0011001 471 CA,<0.1,245,36.6,-123,A
0011002 472 CA,<0.1,1354,36.6,-123,A
0011003 473 CA,<0.1,835,36.6,-123,A
0011004 474 CA,<0.1,811,36.6,-123,A
0011005 475 CA,<0.1,240,36.6,-123,A
0011006 476 CA,<0.1,154,36.6,-123,A
0011007 477 CA,<0.1,180,36.6,-123,A
0011008 478 CA,<0.1,114,36.6,-123,A
0011009 479 CA,<0.1,218,36.6,-123,A
0011010 480 CA,<0.1,162,36.6,-123,A
0011011 481 CA,<0.1,722,36.6,-123,A
0011012 482 CA,<0.1,499,36.6,-123,A
0011013 483 CA,<0.1,618,36.6,-123,A
0011014 484 CA,<0.1,410,36.6,-123,A
0012001 68 CA  9 27,6.2,147,39.1,-120.1,A
0012002 68 CA  9 28,6.2,126,39.1,-120.1,A
0012003 68 CA  9 21,6,106,39.1,-120.1,A
0012006 68 CA  9 26,6,144,39.1,-120.1,A
0012007 68 CA  9 29,6.8,249,39.1,-120.1,A
0012008 68 CA  9 30,7.7,122,39.1,-120.1,A
0012011 68 CA  9 22,6,115,39.1,-120.1,A
0012012 68 CA  9 14,10.8,446,39.1,-120.1,A
0012013 68 CA  9 16,25.4,1273,39.1,-120.1,A
0012014 68 CA  9 15,16.4,824,39.1,-120.1,A
0012015 68 CA  9 20,5.8,131,39.1,-120.1,A
0012016 68 CA  9 23,4.8,136,39.1,-120.1,A
0012017 68 CA 31  1,7.6,243,39.1,-120.1,A
0012018 68 CA 31  2,14.8,334,39.1,-120.1,A
0012019 67 CA  9 17,4.6,144,39.1,-120.1,A
0012020 68 NV  3  1,6,433,39.1,-120.1,A
0012021 68 CA  9 31,4.2,111,39.1,-120.1,A
0013001  600OR,12.1,508,42.9,-122.2,A
0013002  601OR,9.8,492,42.9,-122.2,A
0013003  602OR,6.2,231,42.9,-122.2,A
0013004  603OR,7,228,42.9,-122.2,A
0013005  604OR,7,226,42.9,-122.2,A
0013006  605OR,12.3,582,42.9,-122.2,A
0013007  606OR,3.9,141,42.9,-122.2,A
0013008  607OR,3.7,143,42.9,-122.2,A
0013009  608OR,5.6,219,42.9,-122.2,A
0014001   10SC,12.7,<0.1,34.9,-84.4,A
0014002   11NC,7.1,<0.1,35.8,-78.6,A
0014003   12NC,10.9,<0.1,35.7,-78.8,A
0014004   20NC,9,<0.1,35.8,-78.8,A
0014005   21NC,9.8,<0.1,35.8,-78.8,A
0014006   22NC,3.8,<0.1,36.1,-79.8,A
0014007   51MS,11,<0.1,34.8,-90,A
0014008   54KY,9.6,<0.1,36.6,-88.3,A
0014009   55KY,9.3,<0.1,36.6,-88.3,A
0014010   76MS,7.7,<0.1,30.7,-88.5,A
0014011   77MS,6.9,<0.1,30.7,-88.5,A
0014012   78MS,7.4,<0.1,31.2,-88.5,A
0014013   90FL,6.1,<0.1,30.8,-86.6,A
0014014   91FL,6,<0.1,30.8,-86.6,A
0014015   92FL,3.7,<0.1,30.8,-86.6,A
0014016   94MS,13.8,<0.1,30.7,-89.6,A
0014017   95MS,5.1,<0.1,30.7,-89.6,A
0014018  108MS,6.5,<0.1,32.3,-89,A
0014019  109MS,6.6,<0.1,30.6,-89.1,A
0016001 CX523.51 CT,6.4,291,41.6,-72.1,A
0016002 CX523.52 CT,6.3,296,41.6,-72.1,A
0016003 CX523.87 CT,15.6,647,41.6,-72.1,A
0016004 CX523.50 CT,9.3,474,41.3,-73,A
0016005 CX523.53 CT,12.1,582,41.6,-72.6,A
0016006 CX523.64 CT,21.8,1228,41.9,-71.9,A
0016007 CX523.73 CT,13.9,581,41.8,-72.7,A
0016008 CX523.81 CT,12.7,565,41.6,-72.6,A
0016009 CX523.86 CT,13.4,771,41.8,-72.1,A
0016010 CX523.54 CT,9.2,710,41.5,-73,A
0016011 CX523.63 CT,10.1,463,41.8,-73.2,A
0016012 CX523.75 CT,14.3,763,41.6,-72.6,A
0018004 254 CA,4.4,201,41.6,-124.2,A
0018005 255 CA,2.7,159,41.6,-124.2,A
0018006 256 CA,3.2,166,41.6,-124.2,A
0018007 257 CA,3.9,217,41.6,-124.2,A
0018008 258 CA,2.8,121,41.6,-124.2,A
0018009 259 CA,4.1,179,41.6,-124.2,A
0018010 260 CA,6.9,225,41.6,-124.2,A
0018011 261 CA,22.4,1259,41.6,-124.2,A
0018012 262 CA,25.8,1609,41.6,-124.2,A
0018013 263 CA,20.7,943,41.6,-124.2,A
0018016 266 CA,8.8,341,39.5,-123.8,A
0018017 267 CA,9.3,433,39.5,-123.8,A
0018018 268 CA,2.6,65,41.6,-124.2,A
0018019 269 CA,4.3,133,41.6,-124.2,A
0018020 270 CA,2.8,152,41.6,-124.2,A
0018021 271 CA,13.1,611,41.6,-124.2,A
0018022 272 CA,5.1,236,41.6,-124.2,A
0018023 273 CA,3.9,141,41.6,-124.2,A
0018024 274 CA,2.9,318,41.6,-124.2,A
0018025 275 CA,4.5,302,41.6,-124.2,A
0018026 276 CA,22.5,1077,41.6,-124.2,A
0018027 277 CA,3.4,263,41.6,-124.2,A
0018028 278 CA,2.4,176,41.6,-124.2,A
0018031 281 CA,18.1,1535,39.3,-123.8,A
0019001 350 CA,10,515,41.6,-121.1,A
0019002 351 CA,11.7,476,41.6,-121.1,A
0019003 352 CA,7.8,469,41.6,-121.1,A
0019004 353 CA,9.2,594,41.6,-121.1,A
0019005 354 CA,6.9,391,41.6,-121.1,A
0019007 356 CA,6.2,281,41.6,-121.1,A
0019008 357 CA,4.6,313,41.6,-121.1,A
0019009 358 CA,11.1,812,41.6,-121.1,A
0019010 359 CA,5.5,400,41.6,-121.1,A
0019011 360 CA,41.2,1942,41.6,-121.6,A
0019012 362 CA,24.3,648,43.2,-122.2,A
0019013 361 CA,19.9,725,41.6,-121.6,A
0020001 408 MX,12.8,1102,19.5,-96.9,A
0020002 409 MX,18.6,1351,19.6,-97,A
0020005 410 MX,47,3518,19.6,-97,A
0020006 411 MX,22.1,1168,19.4,-96.4,A
0020007 412 MX,44.6,314,19.4,-96.4,A
0020008 413 MX,14.7,1197,19.7,-96.5,A
0020009 414 MX,5.6,475,19.5,-96.8,A
0020010 415 MX,15,597,19.6,-97.1,A
0020012 417 MX,1.8,151,19.3,-96.7,A
0020014 418 MX,5,291,19.5,-97.3,A
0020015 419  MX,11.1,933,19.4,-97.2,A
0020016 420  MX,4.1,207,19.5,-97.2,A
0020018 422  MX,<0.1,<0.1,19.4,-96.5,A
0020019 423  MX,<0.1,<0.1,19.4,-96.6,A
0021003 435 FL,33.3,314,25.9,-81.7,A
0022001  440CA,18.9,829,38.9,-120.6,A
0022002 441ACA,18.5,807,38.9,-120.6,A
0022003 441BCA,15.8,738,38.9,-120.6,A
0022004 441CCA,21.8,940,38.9,-120.6,A
0022005  442CA,21.4,709,38.9,-120.6,A
0022006  443CA,20.3,804,38.9,-120.6,A
0022007 444ACA,18.2,699,38.9,-120.6,A
0022008 444BCA,18.6,774,38.9,-120.6,A
0022009  445CA,15.8,661,38.9,-120.6,A
0022010 446ACA,22.1,871,38.9,-120.6,A
0022011 446BCA,42.8,2210,38.9,-120.6,A
0022012  447CA,19.2,814,38.9,-120.6,A
0022014  449CA,15.4,658,38.9,-120.6,A
0022015  450CA,16.4,579,38.9,-120.6,A
0023001  451CA,10.7,672,39.9,-121.1,A
0023002  452CA,11.4,498,39.9,-121.1,A
0023003  453CA,2.4,166,39.9,-121.1,A
0023004  454CA,6.7,249,39.9,-121.1,A
0023005  455CA,32.4,1877,39.9,-121.1,A
0023006  456CA,6.9,350,39.9,-121.1,A
0023007 457 CA,5.6,255,39.9,-121.1,A
0024001 459  OR,10.9,833,45.7,-121.5,A
0024002 460  OR,6.9,579,45.7,-121.5,A
0024005 463  OR,9.3,953,45.7,-121.5,A
0025001 489NCA,20.2,1728,37.9,-122.2,A
0025002 489SCA,18.3,1651,37.9,-122.2,A
0025003 489ECA,19.7,1795,37.9,-122.2,A
0025004 489WCA,20.2,1774,37.9,-122.2,A
0025005 490NCA,18.2,1525,37.9,-122.2,A
0025006 490SCA,20.1,1704,37.9,-122.2,A
0025007 490ECA,21.1,1780,37.9,-122.2,A
0025008 490WCA,19.1,1504,37.9,-122.2,A
0025009 491NCA,14.5,1133,37.9,-122.2,A
0025010 491SCA,16.8,1306,37.9,-122.2,A
0025011 491ECA,16.2,1316,37.9,-122.2,A
0025012 491WCA,17.5,1355,37.9,-122.2,A
0025013 492NCA,27.4,1923,37.9,-122.2,A
0025014 492SCA,27.6,1922,37.9,-122.2,A
0025015 492ECA,26,1841,37.9,-122.2,A
0025016 492WCA,26.7,1937,37.9,-122.2,A
0031001 520 CA,12.6,564,39.9,-121.1,A
0031002 520ACA,15.6,701,39.9,-121.1,A
0031003 521 CA,11,363,39.9,-121.1,A
0031004 523NCA,17.2,772,39.9,-121.1,A
0031005 523ECA,16,583,39.9,-121.1,A
0031006 523SCA,15.4,514,39.9,-121.1,A
0031007 523WCA,15,604,39.9,-121.1,A
0033001 551 WA,15,984,45.6,-122.5,A
0033002 552 WA,20.6,1288,45.6,-122,A
0033003 553 WA,13.7,693,45.7,-121.6,A
0033004 554 WA,13.2,605,45.7,-121.5,A
0033005 555 WA,12.9,655,45.7,-121.8,A
0033006 556 OR,11,2510,45.7,-121.3,A
0033007 557 OR,17.6,1034,45.7,-121.5,A
0033008 558 OR,10.6,505,45.6,-122,A
0033009 560 OR,11.1,414,45.6,-122.8,A
0034001 700  CA,20.6,368,41.9,-124,A
0034002 704  CA,7.6,246,41.9,-124,A
0034003 705  CA,11.9,513,41.9,-123.9,A
0034004 706  CA,6.3,385,41.9,-123.9,A
0034005 706A CA,9.1,552,41.9,-124,A
0034007 707  CA,29.7,1385,41.8,-124,A
0034008 709  CA,8.4,594,41.9,-124,A
0035001   1 CA,8.9,380,39.1,-122.6,A
0035002   2 CA,17.3,830,37.1,-122,A
0035003   3 CA,13.4,704,38.3,-121,A
0035004   4 CA,14.5,231,39.4,-119.7,A
0035005   5 CA,21,1234,34.2,-117.6,A
0035006   6 CA,11.1,492,40.5,-121.6,A
0035007   7 CA,8.6,361,40.5,-121.6,A
0035008   8 CA,6.7,351,40.5,-121.6,A
0035009   9 CA,12.1,484,41,-121.6,A
0035010  10 CA,12.7,579,41,-121.6,A
0035011  11 CA,10.8,611,41,-121.6,A
0035012  12 CA,10.6,540,41.5,-121,A
0035013  13 CA,16.5,789,41.5,-121,A
0035014  14 CA,11.2,492,40.4,-120.6,A
0035015  15 CA,6.4,272,40.4,-120.7,A
0035016  16 CA,16,685,40.3,-121.2,A
0035017  17 CA,13.3,365,40.3,-121.2,A
0035018  18 CA,20.6,904,40.4,-121.5,A
0035019  19 CA,29.5,1208,40.4,-121.5,A
0035020  20 CA,28.7,1368,40.1,-121.4,A
0035021  21 CA,8.5,559,39.8,-120.4,A
0035022  22 CA,9.9,499,37.8,-119.8,A
0035023  23 CA,14.5,522,37.8,-119.8,A
0035024  24 CA,14.1,634,37.8,-119.8,A
0035025  25 CA,14.6,651,37.8,-119.8,A
0035026  26 CA,13.3,638,37.7,-119.7,A
0035027  27 CA,13.2,623,37.7,-119.7,A
0035028  28 CA,13.5,743,37.6,-119.8,A
0035029  29 CA,17.6,769,37.5,-119.7,A
0035030  30 CA,9.1,411,39.9,-123.7,A
0035031  31 CA,10.6,410,39.9,-123.7,A
0035032  31ACA,13.5,400,39.9,-123.7,A
0035033  31BCA,9.8,468,39.9,-123.7,A
0035034  31CCA,10.8,424,39.9,-123.7,A
0035035  31DCA,3.7,183,39.9,-123.7,A
0035036  32 CA,6.9,315,39.9,-123.7,A
0035037  33 CA,9.4,381,39.9,-123.7,A
0035038  34 CA,11.5,665,40.1,-124,A
0035039  35 CA,10.8,588,40.1,-124,A
0035040  36 CA,13.8,852,39.9,-123.2,A
0035041  37 CA,10.6,399,39.9,-123.2,A
0035042  38 CA,11.3,534,39.9,-123.2,A
0035043  39 CA,9.2,485,39.7,-123.2,A
0035044  40 CA,11.1,539,39.7,-123.2,A
0035045  41 CA,8.3,298,38,-122.9,A
0035046  42 CA,17.2,794,37.9,-119.9,A
0035047  43 CA,12.6,622,37.9,-119.9,A
0035048  44 CA,12.7,650,37.9,-119.9,A
0035049  45 CA,10.4,358,34.2,-117.2,A
0035050  46 CA,11.6,377,34.2,-117.2,A
0035051  47 CA,15.6,477,34.2,-117,A
0035052  48 CA,10.5,492,33.1,-115.7,A
0035053  49 CA,18.5,835,38.8,-122.7,A
0035054  50 CA,16.8,733,38.8,-122.7,A
0035055  51 OR,13.4,643,42.1,-123.5,A
0035056  52 OR,11.4,592,42.1,-123.5,A
0035057  81 SD,5.9,234,44.1,-103.9,A
0037001  53 CA,21.8,984,37.5,-119.3,A
0037002  91 CA,2,110,34.3,-117.6,A
0038001  61 CA,3.3,233,37.6,-120.1,A
