"River Name","Site","Ele","Amo","Wea"
"Raquette","Mid stream","Sr","0.261427837699024","snowy"
"Raquette","Down stream","Sr","0.621212121212121","sunny"
"St. Regis","Up stream","Sr","0.163585002568053","sunny"
"St. Regis","Mid stream","Sr","0.179506933744222","cloudy"
"St. Regis","Down stream","Sr","0.330765279917822","cloudy"
"Grasse","Up stream","Y","0.658536585365854","cloudy"
"Grasse","Mid stream","Y","0.713414634146341","cloudy"
"Grasse","Down stream","Y","0.396341463414634","snowy"
"Oswegatchie","Up stream","Y","1","snowy"
"Oswegatchie","Mid stream","Y","0.304878048780488","wet"
"Oswegatchie","Down stream","Y","0.140243902439024","snowy"
"Raquette","Up stream","Y","0.0670731707317073","wet"
"Raquette","Mid stream","Y","0.048780487804878","snowy"
"Raquette","Down stream","Y","0","cloudy"
"St. Regis","Up stream","Y","0.560975609756098","snowy"
"St. Regis","Mid stream","Y","0.457317073170732","wet"
"St. Regis","Down stream","Y","0.304878048780488","wet"
"Grasse","Up stream","Yb","0.642857142857143","wet"
"Grasse","Mid stream","Yb","0.571428571428572","wet"
"Grasse","Down stream","Yb","0.428571428571429","sunny"
"Oswegatchie","Up stream","Yb","1","snowy"
"Oswegatchie","Mid stream","Yb","0.214285714285714","sunny"
"Oswegatchie","Down stream","Yb","0.142857142857143","sunny"
"Raquette","Up stream","Yb","0","snowy"
"Raquette","Mid stream","Yb","0.0714285714285714","snowy"
"Raquette","Down stream","Yb","0","snowy"
"St. Regis","Up stream","Yb","0.642857142857143","cloudy"
"St. Regis","Mid stream","Yb","0.428571428571429","sunny"
"St. Regis","Down stream","Yb","0.357142857142857","sunny"
"Grasse","Up stream","Zn","1","wet"
"Grasse","Mid stream","Zn","0.253164556962025","cloudy"
"Grasse","Down stream","Zn","0","snowy"
"Oswegatchie","Up stream","Zn","1","cloudy"
"Oswegatchie","Mid stream","Zn","0.531645569620253","snowy"
"Oswegatchie","Down stream","Zn","0.240506329113924","cloudy"
"Raquette","Up stream","Zn","0.291139240506329","wet"
"Raquette","Mid stream","Zn","0","sunny"
"Raquette","Down stream","Zn","0.987341772151899","sunny"
"St. Regis","Up stream","Zn","0.746835443037975","cloudy"
"St. Regis","Mid stream","Zn","0.379746835443038","snowy"
"St. Regis","Down stream","Zn","0.10126582278481","snowy"
"Grasse","Up stream","Zr","0.888888888888889","cloudy"
"Grasse","Mid stream","Zr","0.666666666666667","snowy"
"Grasse","Down stream","Zr","0.777777777777778","sunny"
"Oswegatchie","Up stream","Zr","1","wet"
"Oswegatchie","Mid stream","Zr","0.333333333333333","cloudy"
"Oswegatchie","Down stream","Zr","0.333333333333333","snowy"
"Raquette","Up stream","Zr","0.333333333333333","cloudy"
"Raquette","Mid stream","Zr","0.111111111111111","snowy"
"Raquette","Down stream","Zr","0","sunny"
"St. Regis","Up stream","Zr","0.888888888888889","wet"
"St. Regis","Mid stream","Zr","0.777777777777778","sunny"
"St. Regis","Down stream","Zr","0.666666666666667","wet"
