"River","Site","Element","Amount"
"Grasse","Up stream","Ho",NA
"Grasse","Mid stream","Ho",NA
"Grasse","Down stream","Ho",NA
"Oswegatchie","Up stream","Ho",NA
"Oswegatchie","Mid stream","Ho",NA
"Oswegatchie","Down stream","Ho",NA
"Raquette","Up stream","Ho",NA
"Raquette","Mid stream","Ho",NA
"Raquette","Down stream","Ho",NA
"St. Regis","Up stream","Ho",NA
"St. Regis","Mid stream","Ho",NA
"St. Regis","Down stream","Ho",NA
"Grasse","Up stream","K",0.0313479623824451
"Grasse","Mid stream","K",0.230407523510972
"Grasse","Down stream","K",0.4858934169279
"Oswegatchie","Up stream","K",0.18025078369906
"Oswegatchie","Mid stream","K",0.426332288401254
"Oswegatchie","Down stream","K",1
"Raquette","Up stream","K",0.24294670846395
"Raquette","Mid stream","K",0.304075235109718
"Raquette","Down stream","K",0.619122257053291
"St. Regis","Up stream","K",0
"St. Regis","Mid stream","K",0.109717868338558
"St. Regis","Down stream","K",0.231974921630094
"Grasse","Up stream","La",0.477064220183486
"Grasse","Mid stream","La",0.688073394495413
"Grasse","Down stream","La",0.348623853211009
"Oswegatchie","Up stream","La",1
"Oswegatchie","Mid stream","La",0.302752293577982
"Oswegatchie","Down stream","La",0.146788990825688
"Raquette","Up stream","La",0.0825688073394495
"Raquette","Mid stream","La",0.0275229357798165
"Raquette","Down stream","La",0
"St. Regis","Up stream","La",0.458715596330275
"St. Regis","Mid stream","La",0.36697247706422
"St. Regis","Down stream","La",0.229357798165138
"Grasse","Up stream","Li",0.5
"Grasse","Mid stream","Li",0.5
"Grasse","Down stream","Li",1
"Oswegatchie","Up stream","Li",0.5
"Oswegatchie","Mid stream","Li",1
"Oswegatchie","Down stream","Li",1
"Raquette","Up stream","Li",0
"Raquette","Mid stream","Li",0
"Raquette","Down stream","Li",0.5
"St. Regis","Up stream","Li",0.5
"St. Regis","Mid stream","Li",0.5
"St. Regis","Down stream","Li",0.5
"Grasse","Up stream","Mg",0.106202723146747
"Grasse","Mid stream","Mg",0.404236006051437
"Grasse","Down stream","Mg",0.890771558245083
"Oswegatchie","Up stream","Mg",0
"Oswegatchie","Mid stream","Mg",0.404841149773071
"Oswegatchie","Down stream","Mg",1
"Raquette","Up stream","Mg",0.0698940998487141
"Raquette","Mid stream","Mg",0.261724659606657
"Raquette","Down stream","Mg",0.641754916792738
"St. Regis","Up stream","Mg",0.175189107413011
"St. Regis","Mid stream","Mg",0.318608169440242
"St. Regis","Down stream","Mg",0.52768532526475
"Grasse","Up stream","Mn",0.113080684596577
"Grasse","Mid stream","Mn",0.122860635696821
"Grasse","Down stream","Mn",0.0654034229828851
"Oswegatchie","Up stream","Mn",1
"Oswegatchie","Mid stream","Mn",0.0611246943765281
"Oswegatchie","Down stream","Mn",0.00672371638141809
"Raquette","Up stream","Mn",0.0177261613691931
"Raquette","Mid stream","Mn",0.0134474327628362
"Raquette","Down stream","Mn",0
"St. Regis","Up stream","Mn",0.112469437652812
"St. Regis","Mid stream","Mn",0.127750611246944
"St. Regis","Down stream","Mn",0.0562347188264059
"Grasse","Up stream","Nd",0.544776119402985
"Grasse","Mid stream","Nd",0.671641791044776
"Grasse","Down stream","Nd",0.395522388059701
"Oswegatchie","Up stream","Nd",1
"Oswegatchie","Mid stream","Nd",0.276119402985075
"Oswegatchie","Down stream","Nd",0.134328358208955
"Raquette","Up stream","Nd",0.104477611940299
"Raquette","Mid stream","Nd",0.0298507462686567
"Raquette","Down stream","Nd",0
"St. Regis","Up stream","Nd",0.559701492537313
"St. Regis","Mid stream","Nd",0.455223880597015
"St. Regis","Down stream","Nd",0.276119402985075
"Grasse","Up stream","Pr",0.548387096774194
"Grasse","Mid stream","Pr",0.67741935483871
"Grasse","Down stream","Pr",0.387096774193548
"Oswegatchie","Up stream","Pr",1
"Oswegatchie","Mid stream","Pr",0.290322580645161
"Oswegatchie","Down stream","Pr",0.129032258064516
"Raquette","Up stream","Pr",0.0967741935483871
"Raquette","Mid stream","Pr",0.032258064516129
"Raquette","Down stream","Pr",0
"St. Regis","Up stream","Pr",0.516129032258065
"St. Regis","Mid stream","Pr",0.419354838709677
"St. Regis","Down stream","Pr",0.258064516129032
"Grasse","Up stream","Rb",0.0519480519480518
"Grasse","Mid stream","Rb",0.519480519480519
"Grasse","Down stream","Rb",0.662337662337662
"Oswegatchie","Up stream","Rb",0.337662337662338
"Oswegatchie","Mid stream","Rb",0.727272727272727
"Oswegatchie","Down stream","Rb",1
"Raquette","Up stream","Rb",0.675324675324675
"Raquette","Mid stream","Rb",0.649350649350649
"Raquette","Down stream","Rb",0.766233766233766
"St. Regis","Up stream","Rb",0
"St. Regis","Mid stream","Rb",0.168831168831169
"St. Regis","Down stream","Rb",0.363636363636364
"Grasse","Up stream","Si",0.821359223300971
"Grasse","Mid stream","Si",0.658252427184466
"Grasse","Down stream","Si",0.731391585760518
"Oswegatchie","Up stream","Si",0.468608414239482
"Oswegatchie","Mid stream","Si",0.27378640776699
"Oswegatchie","Down stream","Si",0.640129449838188
"Raquette","Up stream","Si",0
"Raquette","Mid stream","Si",0.0705501618122977
"Raquette","Down stream","Si",0.0776699029126214
"St. Regis","Up stream","Si",1
"St. Regis","Mid stream","Si",0.845307443365696
"St. Regis","Down stream","Si",0.686084142394822
"Grasse","Up stream","Sr",0.209039548022599
"Grasse","Mid stream","Sr",0.348998459167951
"Grasse","Down stream","Sr",0.787621982537237
"Oswegatchie","Up stream","Sr",0
"Oswegatchie","Mid stream","Sr",0.594247560349255
"Oswegatchie","Down stream","Sr",1
"Raquette","Up stream","Sr",0.123009758602979
"Raquette","Mid stream","Sr",0.261427837699024
"Raquette","Down stream","Sr",0.621212121212121
"St. Regis","Up stream","Sr",0.163585002568053
"St. Regis","Mid stream","Sr",0.179506933744222
"St. Regis","Down stream","Sr",0.330765279917822
"Grasse","Up stream","Y",0.658536585365854
"Grasse","Mid stream","Y",0.713414634146341
"Grasse","Down stream","Y",0.396341463414634
"Oswegatchie","Up stream","Y",1
"Oswegatchie","Mid stream","Y",0.304878048780488
"Oswegatchie","Down stream","Y",0.140243902439024
"Raquette","Up stream","Y",0.0670731707317073
"Raquette","Mid stream","Y",0.048780487804878
"Raquette","Down stream","Y",0
"St. Regis","Up stream","Y",0.560975609756098
"St. Regis","Mid stream","Y",0.457317073170732
"St. Regis","Down stream","Y",0.304878048780488
"Grasse","Up stream","Yb",0.642857142857143
"Grasse","Mid stream","Yb",0.571428571428572
"Grasse","Down stream","Yb",0.428571428571429
"Oswegatchie","Up stream","Yb",1
"Oswegatchie","Mid stream","Yb",0.214285714285714
"Oswegatchie","Down stream","Yb",0.142857142857143
"Raquette","Up stream","Yb",0
"Raquette","Mid stream","Yb",0.0714285714285714
"Raquette","Down stream","Yb",0
"St. Regis","Up stream","Yb",0.642857142857143
"St. Regis","Mid stream","Yb",0.428571428571429
"St. Regis","Down stream","Yb",0.357142857142857
"Grasse","Up stream","Zn",1
"Grasse","Mid stream","Zn",0.253164556962025
"Grasse","Down stream","Zn",0
"Oswegatchie","Up stream","Zn",1
"Oswegatchie","Mid stream","Zn",0.531645569620253
"Oswegatchie","Down stream","Zn",0.240506329113924
"Raquette","Up stream","Zn",0.291139240506329
"Raquette","Mid stream","Zn",0
"Raquette","Down stream","Zn",0.987341772151899
"St. Regis","Up stream","Zn",0.746835443037975
"St. Regis","Mid stream","Zn",0.379746835443038
"St. Regis","Down stream","Zn",0.10126582278481
"Grasse","Up stream","Zr",0.888888888888889
"Grasse","Mid stream","Zr",0.666666666666667
"Grasse","Down stream","Zr",0.777777777777778
"Oswegatchie","Up stream","Zr",1
"Oswegatchie","Mid stream","Zr",0.333333333333333
"Oswegatchie","Down stream","Zr",0.333333333333333
"Raquette","Up stream","Zr",0.333333333333333
"Raquette","Mid stream","Zr",0.111111111111111
"Raquette","Down stream","Zr",0
"St. Regis","Up stream","Zr",0.888888888888889
"St. Regis","Mid stream","Zr",0.777777777777778
"St. Regis","Down stream","Zr",0.666666666666667
